,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
3826,377146,05/27/2020 01:32:16 AM,,,False,504 Opry Mills Dr,NASHVILLE,15.0,37214.0,36.20516370000001,-86.69289839999998,"(36.20516370000001, -86.69289839999999)"
3827,366466,05/13/2020 02:58:23 PM,,,False,2190 Gallatin Pike N,MADISON,10.0,37115.0,36.30493,-86.68991,"(36.30493, -86.68991)"
3828,366287,05/13/2020 12:10:24 PM,,,False,90 White Bridge Rd,NASHVILLE,24.0,37205.0,36.131499700000006,-86.8572982,"(36.1314997, -86.8572982)"
3829,366769,05/13/2020 05:41:58 PM,,,False,4000 Nolensville Pike,NASHVILLE,26.0,37211.0,36.08464,-86.72752,"(36.08464, -86.72752)"
3830,366726,05/13/2020 05:25:39 PM,,,False,15123 Old Hickory Blvd,NASHVILLE,4.0,37211.0,36.0444939,-86.71628969999998,"(36.0444939, -86.71628969999999)"
3831,366255,05/13/2020 02:16:57 AM,,,False,200 15th Ave N,NASHVILLE,19.0,37203.0,36.157625491747325,-86.7926322627724,"(36.157625491747325, -86.79263226277241)"
3832,366366,05/13/2020 01:49:43 PM,,,False,5032 Old Hickory Blvd,HERMITAGE,11.0,37076.0,36.193111200000004,-86.61619309999998,"(36.1931112, -86.61619309999999)"
3833,365046,05/12/2020 03:02:18 PM,,,False,209 Indian Lake Blvd,,,,36.319356611673506,-86.60113180674591,"(36.31935661167351, -86.60113180674591)"
3834,376262,05/26/2020 03:17:32 PM,,,False,4000 Nolensville Pike,NASHVILLE,26.0,37211.0,36.084635299999995,-86.72751989999998,"(36.0846353, -86.72751989999999)"
3835,365218,05/12/2020 04:46:55 PM,,,False,1249 Northgate Business Pkwy,MADISON,9.0,37115.0,36.28329,-86.69156,"(36.28329, -86.69156)"
3836,417886,07/16/2020 01:55:34 PM,,,False,1045 28th Ave N,NASHVILLE,21.0,37208.0,36.16737,-86.82108000000001,"(36.16737, -86.82108)"
3837,366092,05/12/2020 08:56:13 PM,,,False,7613 Hwy 70 S,NASHVILLE,22.0,37221.0,36.07704239999999,-86.9471678,"(36.07704239999999, -86.9471678)"
3838,367037,05/13/2020 09:07:43 PM,,,False,3048 Brick Church Pike,NASHVILLE,2.0,37207.0,36.232434000000005,-86.78199389999997,"(36.232434, -86.78199389999999)"
3839,372446,05/20/2020 12:08:05 AM,,,False,333 Commerce St,NASHVILLE,19.0,37201.0,36.16254431160667,-86.77678099325409,"(36.16254431160667, -86.77678099325409)"
3840,366602,05/13/2020 04:06:23 PM,,,False,2000 Antioch Pike,ANTIOCH,28.0,37013.0,36.069634561567284,-86.68367879325409,"(36.069634561567284, -86.68367879325409)"
3841,365275,05/12/2020 05:18:02 PM,,,False,601 Gallatin Pike N,MADISON,8.0,37115.0,36.26858,-86.71131,"(36.26858, -86.71131)"
3842,373162,05/20/2020 07:49:47 PM,,,False,5353 Hickory Hollow Pkwy,ANTIOCH,32.0,37013.0,36.04438,-86.65216,"(36.04438, -86.65216)"
3843,366835,05/13/2020 06:27:43 PM,,,False,2025 8th Ave S,NASHVILLE,17.0,37204.0,36.13188119999999,-86.7791632,"(36.13188119999999, -86.7791632)"
3844,438384,08/05/2020 06:03:50 PM,,,False,1906 Church St,NASHVILLE,21.0,37203.0,36.15420820000001,-86.7994824,"(36.15420820000001, -86.7994824)"
3845,366223,05/12/2020 11:23:17 PM,,,False,UBS Tower,NASHVILLE,19.0,37201.0,36.16576120000001,-86.7794184,"(36.16576120000001, -86.7794184)"
3846,366914,05/13/2020 07:42:17 PM,,,False,700 2nd Ave S,NASHVILLE,19.0,37210.0,36.15406,-86.76903,"(36.15406, -86.76903)"
3847,365253,05/12/2020 05:01:58 PM,,,False,4011 Hillsboro Pike,NASHVILLE,25.0,37215.0,36.103678,-86.815962,"(36.103678, -86.815962)"
3848,376922,05/26/2020 09:11:51 PM,,,False,136 Long Hollow Pike,GOODLETTSVILLE,10.0,37072.0,36.323170000000005,-86.7098,"(36.32317, -86.7098)"
3849,376965,05/26/2020 09:37:19 PM,,,False,3855 Clarksville Pike,NASHVILLE,2.0,37218.0,36.20415,-86.84109000000001,"(36.20415, -86.84109)"
